size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
800,1.0,0.90875,0.8466666666666667,0.877005347593583,0.9425287356321839,0.82,0.86,0.9,0.74,0.9,117938.68733811378
800,1.0,0.90875,0.8466666666666667,0.877005347593583,0.9425287356321839,0.82,0.86,0.9,0.74,0.9,118845.39141535759
800,1.0,0.90875,0.8466666666666667,0.877005347593583,0.9425287356321839,0.82,0.86,0.9,0.74,0.9,120134.65513110161
800,1.0,0.90875,0.8466666666666667,0.877005347593583,0.9425287356321839,0.82,0.86,0.9,0.74,0.9,121514.49660158157
800,1.0,0.90875,0.8466666666666667,0.877005347593583,0.9425287356321839,0.82,0.86,0.9,0.74,0.9,143479.6128270626
