size,total_time,pca_time,training_time,prediction_time,accuracy
100,771.7899367809296,0.8180394172668457,176.19406986236572,594.5494980812073,0.6833333333333333
200,1928.4615352153778,0.019217252731323242,772.6405465602875,1155.6530599594116,0.62
300,3394.067317724228,0.03330850601196289,1791.337811946869,1602.5464346408844,0.64
400,4916.324629545212,0.07707524299621582,2800.9086344242096,2115.18199300766,0.7566666666666667
500,6912.726883649826,0.009835481643676758,4317.122020959854,2595.431798219681,0.7833333333333333
600,9372.093804597855,0.0298922061920166,6237.734885692596,3134.106789112091,0.7733333333333333
700,12102.633476018906,0.01055002212524414,8485.610153198242,3616.813577890396,0.7766666666666666
800,14566.378012895584,0.008379936218261719,10664.614610433578,3901.4704995155334,0.7733333333333333
900,22259.00994491577,0.008840084075927734,16682.220264196396,5576.371021986008,0.77
1000,27725.03735113144,0.027274608612060547,21307.71964263916,6416.944501161575,0.78
