spec,total_time,pca_time,training_time,prediction_time
8 core MP,441.6203305721283,1.5070369243621826,110.54020190238953,329.11009454727173
lightning.qubit,465.96590399742126,1.5053131580352783,114.7699122428894,349.2262830734253
sklearnex patch,469.2156777381897,1.7428326606750488,115.66362380981445,351.40579557418823
16 core MP,470.88121700286865,2.4730515480041504,117.55744004249573,350.5866916179657
4 core MP,473.1370894908905,1.505403757095337,117.40771007537842,353.7597680091858
default.qubit,929.0303208827972,0.0045320987701416016,232.80273127555847,696.1845543384552
