size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
1000,1,1.0,0.8316666666666667,0.8622100954979537,0.948948948948949,0.79,0.8525,0.915,0.74,0.84,178.52105164527893
1000,1,1.0,0.8316666666666667,0.8622100954979537,0.948948948948949,0.79,0.8525,0.915,0.74,0.84,189.0989053249359
1000,1,0.956,0.88,0.9108910891089109,0.9019607843137255,0.92,0.8600000000000001,0.8,0.885,0.955,191.55887246131897
1000,1,0.988,0.805,0.8377253814147019,0.940809968847352,0.755,0.8300000000000001,0.905,0.675,0.835,187.63242959976196
1000,1,0.956,0.88,0.9108910891089109,0.9019607843137255,0.92,0.8600000000000001,0.8,0.885,0.955,184.34668397903442
1000,1,1.0,0.8316666666666667,0.8622100954979537,0.948948948948949,0.79,0.8525,0.915,0.74,0.84,185.03056287765503
1000,1,0.956,0.88,0.9108910891089109,0.9019607843137255,0.92,0.8600000000000001,0.8,0.885,0.955,179.91672492027283
1000,1,1.0,0.8316666666666667,0.8622100954979537,0.948948948948949,0.79,0.8525,0.915,0.74,0.84,185.03686475753784
1000,1,0.956,0.88,0.9108910891089109,0.9019607843137255,0.92,0.8600000000000001,0.8,0.885,0.955,185.19700527191162
1000,1,0.956,0.88,0.9108910891089109,0.9019607843137255,0.92,0.8600000000000001,0.8,0.885,0.955,182.34692525863647
