size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
200,1,1.0,0.7,0.7360703812316716,0.8900709219858156,0.6275,0.73625,0.845,0.565,0.69,17.108484745025635
200,1,1.0,0.7,0.7360703812316716,0.8900709219858156,0.6275,0.73625,0.845,0.565,0.69,16.809734106063843
200,1,1.0,0.7,0.7360703812316716,0.8900709219858156,0.6275,0.73625,0.845,0.565,0.69,17.769018173217773
200,1,1.0,0.67,0.68370607028754,0.9469026548672567,0.535,0.7375,0.94,0.46,0.61,16.601038217544556
200,1,1.0,0.7,0.7360703812316716,0.8900709219858156,0.6275,0.73625,0.845,0.565,0.69,16.451245069503784
200,1,1.0,0.7,0.7360703812316716,0.8900709219858156,0.6275,0.73625,0.845,0.565,0.69,17.3661892414093
200,1,1.0,0.7,0.7360703812316716,0.8900709219858156,0.6275,0.73625,0.845,0.565,0.69,16.566508769989014
200,1,1.0,0.7,0.7360703812316716,0.8900709219858156,0.6275,0.73625,0.845,0.565,0.69,17.631741046905518
200,1,1.0,0.7,0.7360703812316716,0.8900709219858156,0.6275,0.73625,0.845,0.565,0.69,16.364065647125244
200,1,1.0,0.67,0.68370607028754,0.9469026548672567,0.535,0.7375,0.94,0.46,0.61,16.95129084587097
