size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
900,1,1.0,0.785,0.8405438813349814,0.8312958435207825,0.85,0.7525,0.655,0.825,0.875,352.0990221500397
900,1,1.0,0.785,0.8405438813349814,0.8312958435207825,0.85,0.7525,0.655,0.825,0.875,322.7115385532379
900,1,1.0,0.785,0.8405438813349814,0.8312958435207825,0.85,0.7525,0.655,0.825,0.875,332.5129716396332
900,1,1.0,0.785,0.8405438813349814,0.8312958435207825,0.85,0.7525,0.655,0.825,0.875,331.15179324150085
900,1,1.0,0.7083333333333334,0.7496423462088697,0.8762541806020067,0.655,0.735,0.815,0.64,0.67,325.1716766357422
900,1,1.0,0.785,0.8405438813349814,0.8312958435207825,0.85,0.7525,0.655,0.825,0.875,323.929114818573
900,1,1.0,0.785,0.8405438813349814,0.8312958435207825,0.85,0.7525,0.655,0.825,0.875,305.03908944129944
900,1,1.0,0.785,0.8405438813349814,0.8312958435207825,0.85,0.7525,0.655,0.825,0.875,313.274738073349
900,1,1.0,0.785,0.8405438813349814,0.8312958435207825,0.85,0.7525,0.655,0.825,0.875,319.009614944458
900,1,1.0,0.785,0.8405438813349814,0.8312958435207825,0.85,0.7525,0.655,0.825,0.875,308.6283619403839
