size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy
200,1,1.0,0.8566666666666667,0.8951219512195122,0.8738095238095238,0.9175,0.8262499999999999,0.735,0.89,0.945
300,1,1.0,0.8883333333333333,0.9152970922882426,0.9258312020460358,0.905,0.88,0.855,0.895,0.915
400,1,1.0,0.9216666666666666,0.9424724602203184,0.9232613908872902,0.9625,0.90125,0.84,0.95,0.975
500,1,1.0,0.925,0.944920440636475,0.9256594724220624,0.965,0.905,0.845,0.965,0.965
600,1,1.0,0.9366666666666666,0.9538834951456311,0.9268867924528302,0.9825,0.9137500000000001,0.845,0.98,0.985
700,1,1.0,0.9383333333333334,0.9548229548229549,0.9331742243436754,0.9775,0.91875,0.86,0.975,0.98
800,1,1.0,0.9483333333333334,0.9620563035495716,0.9424460431654677,0.9825,0.93125,0.88,0.98,0.985
900,1,1.0,0.9516666666666667,0.9641532756489493,0.9535452322738386,0.975,0.94,0.905,0.97,0.98
1000,1,1.0,0.9516666666666667,0.9643296432964329,0.9491525423728814,0.98,0.9375,0.895,0.975,0.985
