size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
600,1,1.0,0.7383333333333333,0.782246879334258,0.8785046728971962,0.705,0.755,0.805,0.665,0.745,40.4211208820343,
600,1,1.0,0.7516666666666667,0.7967257844474761,0.8768768768768769,0.73,0.7625,0.795,0.7,0.76,40.93703556060791,
600,1,1.0,0.7516666666666667,0.7967257844474761,0.8768768768768769,0.73,0.7625,0.795,0.7,0.76,40.71765112876892,
600,1,0.9733333333333334,0.7916666666666666,0.8431618569636135,0.8463476070528967,0.84,0.7675,0.695,0.81,0.87,36.96318697929382,
600,1,0.9733333333333334,0.7916666666666666,0.8431618569636135,0.8463476070528967,0.84,0.7675,0.695,0.81,0.87,37.74046349525452,
600,1,1.0,0.7516666666666667,0.7967257844474761,0.8768768768768769,0.73,0.7625,0.795,0.7,0.76,37.61110162734985,
600,1,1.0,0.7383333333333333,0.782246879334258,0.8785046728971962,0.705,0.755,0.805,0.665,0.745,39.238887548446655,
600,1,1.0,0.7516666666666667,0.7967257844474761,0.8768768768768769,0.73,0.7625,0.795,0.7,0.76,39.153969049453735,
600,1,1.0,0.7383333333333333,0.782246879334258,0.8785046728971962,0.705,0.755,0.805,0.665,0.745,39.07207441329956,
600,1,1.0,0.7516666666666667,0.7967257844474761,0.8768768768768769,0.73,0.7625,0.795,0.7,0.76,38.75533127784729,
