size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
100,1,0.99,0.7066666666666667,0.8095238095238096,0.7137404580152672,0.935,0.5925,0.25,0.9,0.97,4.926779508590698,
100,1,0.99,0.68,0.7857142857142856,0.7096774193548387,0.88,0.5800000000000001,0.28,0.835,0.925,4.906255483627319,
100,1,1.0,0.5733333333333334,0.632183908045977,0.7432432432432432,0.55,0.585,0.62,0.465,0.635,4.9469685554504395,
100,1,0.99,0.705,0.8110992529348986,0.707635009310987,0.95,0.5825,0.215,0.925,0.975,5.039663791656494,
100,1,0.99,0.7066666666666667,0.8095238095238096,0.7137404580152672,0.935,0.5925,0.25,0.9,0.97,5.167801141738892,
100,1,1.0,0.5733333333333334,0.632183908045977,0.7432432432432432,0.55,0.585,0.62,0.465,0.635,5.312961578369141,
100,1,0.99,0.705,0.8110992529348986,0.707635009310987,0.95,0.5825,0.215,0.925,0.975,5.439574241638184,
100,1,0.99,0.7066666666666667,0.8095238095238096,0.7137404580152672,0.935,0.5925,0.25,0.9,0.97,5.406052350997925,
100,1,1.0,0.5733333333333334,0.632183908045977,0.7432432432432432,0.55,0.585,0.62,0.465,0.635,5.483395576477051,
100,1,0.98,0.69,0.7951541850220264,0.7106299212598425,0.9025,0.58375,0.265,0.86,0.945,5.5178563594818115,
