size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
900,1,1.0,0.805,0.8425302826379543,0.9125364431486881,0.7825,0.8162499999999999,0.85,0.765,0.8,85.71081638336182,
900,1,1.0,0.805,0.8425302826379543,0.9125364431486881,0.7825,0.8162499999999999,0.85,0.765,0.8,81.47134828567505,
900,1,1.0,0.7916666666666666,0.8275862068965517,0.9230769230769231,0.75,0.8125,0.875,0.71,0.79,77.48555493354797,
900,1,0.9944444444444445,0.8116666666666666,0.8541935483870968,0.8826666666666667,0.8275,0.80375,0.78,0.78,0.875,81.7151198387146,
900,1,0.9877777777777778,0.8266666666666667,0.8680203045685279,0.8814432989690721,0.855,0.8125,0.77,0.825,0.885,79.19772267341614,
900,1,0.9944444444444445,0.8116666666666666,0.8541935483870968,0.8826666666666667,0.8275,0.80375,0.78,0.78,0.875,74.61893486976624,
900,1,1.0,0.805,0.8425302826379543,0.9125364431486881,0.7825,0.8162499999999999,0.85,0.765,0.8,71.50145745277405,
900,1,1.0,0.7916666666666666,0.8275862068965517,0.9230769230769231,0.75,0.8125,0.875,0.71,0.79,70.71063089370728,
900,1,1.0,0.805,0.8425302826379543,0.9125364431486881,0.7825,0.8162499999999999,0.85,0.765,0.8,70.19851446151733,
900,1,0.9988888888888889,0.8083333333333333,0.8508430609597925,0.8840970350404312,0.82,0.8025,0.785,0.775,0.865,69.54133105278015,
