size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
200,1,1.0,0.73,0.8146453089244852,0.7510548523206751,0.89,0.65,0.41,0.855,0.925,7.783959150314331,
200,1,1.0,0.73,0.8146453089244852,0.7510548523206751,0.89,0.65,0.41,0.855,0.925,8.07394003868103,
200,1,1.0,0.7016666666666667,0.7835550181378476,0.7587822014051522,0.81,0.6475,0.485,0.755,0.865,8.633909225463867,
200,1,1.0,0.675,0.7509578544061303,0.7676240208877284,0.735,0.645,0.555,0.685,0.785,8.680147886276245,
200,1,1.0,0.73,0.8146453089244852,0.7510548523206751,0.89,0.65,0.41,0.855,0.925,8.686795473098755,
200,1,1.0,0.7016666666666667,0.7835550181378476,0.7587822014051522,0.81,0.6475,0.485,0.755,0.865,8.937106132507324,
200,1,0.995,0.7133333333333334,0.8138528138528137,0.7175572519083969,0.94,0.6,0.26,0.925,0.955,9.032006978988647,
200,1,1.0,0.4683333333333333,0.3829787234042553,0.8461538461538461,0.2475,0.57875,0.91,0.225,0.27,8.973586559295654,
200,1,1.0,0.7016666666666667,0.7835550181378476,0.7587822014051522,0.81,0.6475,0.485,0.755,0.865,8.953967809677124,
200,1,0.99,0.6916666666666667,0.7730061349693251,0.7590361445783133,0.7875,0.64375,0.5,0.735,0.84,8.72485876083374,
