size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
700,1,0.9757142857142858,0.7983333333333333,0.8470290771175726,0.8567774936061381,0.8375,0.77875,0.72,0.8,0.875,51.24693942070007,
700,1,1.0,0.7583333333333333,0.8010973936899863,0.8875379939209727,0.73,0.7725,0.815,0.705,0.755,52.64388108253479,
700,1,1.0,0.7516666666666667,0.7868383404864092,0.919732441471572,0.6875,0.78375,0.88,0.64,0.735,48.53364086151123,
700,1,1.0,0.7516666666666667,0.7868383404864092,0.919732441471572,0.6875,0.78375,0.88,0.64,0.735,48.98922276496887,
700,1,1.0,0.7516666666666667,0.7868383404864092,0.919732441471572,0.6875,0.78375,0.88,0.64,0.735,51.761757373809814,
700,1,0.9757142857142858,0.7983333333333333,0.8470290771175726,0.8567774936061381,0.8375,0.77875,0.72,0.8,0.875,51.36363244056702,
700,1,0.9757142857142858,0.7983333333333333,0.8470290771175726,0.8567774936061381,0.8375,0.77875,0.72,0.8,0.875,51.35488176345825,
700,1,0.9757142857142858,0.7983333333333333,0.8470290771175726,0.8567774936061381,0.8375,0.77875,0.72,0.8,0.875,49.150758028030396,
700,1,0.9757142857142858,0.7983333333333333,0.8470290771175726,0.8567774936061381,0.8375,0.77875,0.72,0.8,0.875,45.34146285057068,
700,1,0.9757142857142858,0.7983333333333333,0.8470290771175726,0.8567774936061381,0.8375,0.77875,0.72,0.8,0.875,48.022216796875,
