size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
400,1,0.9875,0.74,0.8106796116504854,0.7877358490566038,0.835,0.6925,0.55,0.785,0.885,19.17565608024597,
400,1,1.0,0.7033333333333334,0.7513966480446927,0.8512658227848101,0.6725,0.71875,0.765,0.595,0.75,21.03308343887329,
400,1,0.9925,0.6733333333333333,0.7427821522309712,0.7817679558011049,0.7075,0.65625,0.605,0.63,0.785,20.77416205406189,
400,1,0.995,0.7083333333333334,0.7759282970550576,0.7952755905511811,0.7575,0.68375,0.61,0.695,0.82,20.07465624809265,
400,1,0.995,0.7083333333333334,0.7759282970550576,0.7952755905511811,0.7575,0.68375,0.61,0.695,0.82,20.778548002243042,
400,1,0.995,0.7083333333333334,0.7759282970550576,0.7952755905511811,0.7575,0.68375,0.61,0.695,0.82,20.57314705848694,
400,1,0.995,0.7083333333333334,0.7759282970550576,0.7952755905511811,0.7575,0.68375,0.61,0.695,0.82,19.749130725860596,
400,1,0.995,0.7083333333333334,0.7759282970550576,0.7952755905511811,0.7575,0.68375,0.61,0.695,0.82,20.001333951950073,
400,1,0.995,0.7083333333333334,0.7759282970550576,0.7952755905511811,0.7575,0.68375,0.61,0.695,0.82,20.07632565498352,
400,1,0.9875,0.74,0.8106796116504854,0.7877358490566038,0.835,0.6925,0.55,0.785,0.885,19.363270044326782,
