size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
800,1,1.0,0.7616666666666667,0.7965860597439545,0.9240924092409241,0.7,0.7925,0.885,0.65,0.75,67.05780816078186,
800,1,0.98625,0.825,0.8698884758364311,0.8624078624078624,0.8775,0.79875,0.72,0.845,0.91,63.42531418800354,
800,1,1.0,0.7783333333333333,0.8145048814504882,0.9211356466876972,0.73,0.8025,0.875,0.68,0.78,65.44247460365295,
800,1,0.97875,0.8116666666666666,0.8564167725540026,0.8708010335917312,0.8425,0.79625,0.75,0.82,0.865,65.13714957237244,
800,1,1.0,0.7783333333333333,0.8145048814504882,0.9211356466876972,0.73,0.8025,0.875,0.68,0.78,64.39799070358276,
800,1,1.0,0.7783333333333333,0.8145048814504882,0.9211356466876972,0.73,0.8025,0.875,0.68,0.78,60.42453098297119,
800,1,1.0,0.7783333333333333,0.8145048814504882,0.9211356466876972,0.73,0.8025,0.875,0.68,0.78,58.03189992904663,
800,1,1.0,0.7783333333333333,0.8145048814504882,0.9211356466876972,0.73,0.8025,0.875,0.68,0.78,60.1166296005249,
800,1,1.0,0.7616666666666667,0.7965860597439545,0.9240924092409241,0.7,0.7925,0.885,0.65,0.75,55.88028860092163,
800,1,1.0,0.7783333333333333,0.8145048814504882,0.9211356466876972,0.73,0.8025,0.875,0.68,0.78,56.36043119430542,
