size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
300,1,1.0,0.6216666666666667,0.654490106544901,0.8365758754863813,0.5375,0.6637500000000001,0.79,0.51,0.565,12.715569734573364,
300,1,1.0,0.6533333333333333,0.7011494252873564,0.8243243243243243,0.61,0.675,0.74,0.58,0.64,13.68017292022705,
300,1,0.9733333333333334,0.735,0.8187001140250856,0.7526205450733753,0.8975,0.6537499999999999,0.41,0.87,0.925,13.942365407943726,
300,1,1.0,0.6533333333333333,0.7011494252873564,0.8243243243243243,0.61,0.675,0.74,0.58,0.64,14.183752059936523,
300,1,0.9833333333333333,0.7183333333333334,0.795151515151515,0.7717647058823529,0.82,0.6675,0.515,0.785,0.855,14.057811737060547,
300,1,1.0,0.6216666666666667,0.654490106544901,0.8365758754863813,0.5375,0.6637500000000001,0.79,0.51,0.565,14.079498052597046,
300,1,1.0,0.6533333333333333,0.7011494252873564,0.8243243243243243,0.61,0.675,0.74,0.58,0.64,13.843998193740845,
300,1,0.9733333333333334,0.735,0.8187001140250856,0.7526205450733753,0.8975,0.6537499999999999,0.41,0.87,0.925,13.737604141235352,
300,1,1.0,0.6533333333333333,0.7011494252873564,0.8243243243243243,0.61,0.675,0.74,0.58,0.64,13.841415882110596,
300,1,1.0,0.6533333333333333,0.7011494252873564,0.8243243243243243,0.61,0.675,0.74,0.58,0.64,13.824134349822998,
