size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
500,1,1.0,0.715,0.7608391608391608,0.8634920634920635,0.68,0.7325,0.785,0.635,0.725,29.163233757019043,
500,1,1.0,0.74,0.7891891891891891,0.8588235294117647,0.73,0.745,0.76,0.68,0.78,30.425804376602173,
500,1,0.982,0.7383333333333333,0.8039950062421972,0.8029925187032418,0.805,0.7050000000000001,0.605,0.775,0.835,29.4449462890625,
500,1,0.99,0.77,0.8345323741007193,0.8018433179723502,0.87,0.72,0.57,0.835,0.905,28.1176118850708,
500,1,1.0,0.715,0.7608391608391608,0.8634920634920635,0.68,0.7325,0.785,0.635,0.725,29.42839550971985,
500,1,0.99,0.77,0.8345323741007193,0.8018433179723502,0.87,0.72,0.57,0.835,0.905,28.847578763961792,
500,1,0.99,0.77,0.8345323741007193,0.8018433179723502,0.87,0.72,0.57,0.835,0.905,28.752652168273926,
500,1,0.982,0.7383333333333333,0.8039950062421972,0.8029925187032418,0.805,0.7050000000000001,0.605,0.775,0.835,27.32982349395752,
500,1,0.99,0.77,0.8345323741007193,0.8018433179723502,0.87,0.72,0.57,0.835,0.905,28.58257222175598,
500,1,0.982,0.7383333333333333,0.8039950062421972,0.8029925187032418,0.805,0.7050000000000001,0.605,0.775,0.835,28.628196477890015,
