size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy
200,1,0.94,0.49666666666666665,0.5635838150289018,0.6678082191780822,0.4875,0.50125,0.515,0.475,0.5
300,1,0.9666666666666667,0.5316666666666666,0.615595075239398,0.6797583081570997,0.5625,0.51625,0.47,0.565,0.56
400,1,0.925,0.525,0.5765230312035662,0.7106227106227107,0.485,0.5449999999999999,0.605,0.465,0.505
500,1,0.92,0.525,0.583941605839416,0.7017543859649122,0.5,0.5375,0.575,0.485,0.515
600,1,0.915,0.5633333333333334,0.6401098901098901,0.7103658536585366,0.5825,0.55375,0.525,0.555,0.61
700,1,0.9128571428571428,0.565,0.634965034965035,0.7206349206349206,0.5675,0.56375,0.56,0.635,0.5
800,1,0.9025,0.5816666666666667,0.6378066378066378,0.7542662116040956,0.5525,0.59625,0.64,0.57,0.535
900,1,0.8866666666666667,0.5916666666666667,0.6412884333821376,0.773851590106007,0.5475,0.61375,0.68,0.565,0.53
1000,1,0.9,0.6233333333333333,0.6780626780626781,0.7880794701986755,0.595,0.6375,0.68,0.545,0.645
