size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
600,1,1.0,0.9816666666666667,0.9864364981504316,0.9732360097323601,1.0,0.9724999999999999,0.945,1.0,1.0,8.09136414527893
700,1,1.0,0.99,0.9925558312655086,0.9852216748768473,1.0,0.985,0.97,1.0,1.0,8.09136414527893
800,1,1.0,0.9916666666666667,0.9937888198757764,0.9876543209876543,1.0,0.9875,0.975,1.0,1.0,8.09136414527893
900,1,1.0,0.9933333333333333,0.9950248756218906,0.9900990099009901,1.0,0.99,0.98,1.0,1.0,8.09136414527893
1000,1,1.0,0.9916666666666667,0.9937888198757764,0.9876543209876543,1.0,0.9875,0.975,1.0,1.0,8.09136414527893
