size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
700,1,1.0,0.7833333333333333,0.8539325842696629,0.7755102040816326,0.95,0.7,0.45,0.92,0.98,361.66648030281067
700,1,1.0,0.7833333333333333,0.8539325842696629,0.7755102040816326,0.95,0.7,0.45,0.92,0.98,358.49400520324707
700,1,1.0,0.7833333333333333,0.8539325842696629,0.7755102040816326,0.95,0.7,0.45,0.92,0.98,361.542768239975
700,1,1.0,0.7833333333333333,0.8539325842696629,0.7755102040816326,0.95,0.7,0.45,0.92,0.98,356.31420159339905
700,1,1.0,0.7833333333333333,0.8539325842696629,0.7755102040816326,0.95,0.7,0.45,0.92,0.98,360.39313650131226
700,1,1.0,0.7833333333333333,0.8539325842696629,0.7755102040816326,0.95,0.7,0.45,0.92,0.98,356.1906819343567
700,1,1.0,0.7833333333333333,0.8539325842696629,0.7755102040816326,0.95,0.7,0.45,0.92,0.98,346.7871108055115
700,1,1.0,0.7833333333333333,0.8539325842696629,0.7755102040816326,0.95,0.7,0.45,0.92,0.98,343.0727801322937
700,1,1.0,0.7833333333333333,0.8539325842696629,0.7755102040816326,0.95,0.7,0.45,0.92,0.98,352.9748260974884
700,1,1.0,0.7833333333333333,0.8539325842696629,0.7755102040816326,0.95,0.7,0.45,0.92,0.98,339.48107147216797
