size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
1000,1,0.997,0.8383333333333334,0.8725361366622865,0.9196675900277008,0.83,0.8425,0.855,0.755,0.905,164.54782366752625
1000,1,1.0,0.85,0.8818897637795275,0.9281767955801105,0.84,0.855,0.87,0.775,0.905,170.6067042350769
1000,1,0.997,0.8383333333333334,0.8722002635046113,0.9220055710306406,0.8275,0.84375,0.86,0.765,0.89,167.86758852005005
1000,1,1.0,0.85,0.8818897637795275,0.9281767955801105,0.84,0.855,0.87,0.775,0.905,145.75917887687683
1000,1,1.0,0.85,0.8818897637795275,0.9281767955801105,0.84,0.855,0.87,0.775,0.905,154.3300540447235
1000,1,1.0,0.85,0.8818897637795275,0.9281767955801105,0.84,0.855,0.87,0.775,0.905,152.75967168807983
1000,1,1.0,0.85,0.8818897637795275,0.9281767955801105,0.84,0.855,0.87,0.775,0.905,149.44519114494324
1000,1,1.0,0.85,0.8818897637795275,0.9281767955801105,0.84,0.855,0.87,0.775,0.905,146.11157846450806
1000,1,0.997,0.8383333333333334,0.8725361366622865,0.9196675900277008,0.83,0.8425,0.855,0.755,0.905,140.74462842941284
1000,1,1.0,0.85,0.8818897637795275,0.9281767955801105,0.84,0.855,0.87,0.775,0.905,136.8840630054474
