size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
700,1,1.0,0.82,0.8567639257294429,0.9124293785310734,0.8075,0.8262499999999999,0.845,0.78,0.835,87.8480613231659
700,1,1.0,0.82,0.8567639257294429,0.9124293785310734,0.8075,0.8262499999999999,0.845,0.78,0.835,92.27179479598999
700,1,1.0,0.8083333333333333,0.8464619492656875,0.9083094555873925,0.7925,0.8162499999999999,0.84,0.76,0.825,87.74594283103943
700,1,1.0,0.82,0.8567639257294429,0.9124293785310734,0.8075,0.8262499999999999,0.845,0.78,0.835,94.4591965675354
700,1,1.0,0.82,0.8567639257294429,0.9124293785310734,0.8075,0.8262499999999999,0.845,0.78,0.835,89.07688307762146
700,1,1.0,0.82,0.8567639257294429,0.9124293785310734,0.8075,0.8262499999999999,0.845,0.78,0.835,87.85744071006775
700,1,1.0,0.82,0.8567639257294429,0.9124293785310734,0.8075,0.8262499999999999,0.845,0.78,0.835,79.6841344833374
700,1,1.0,0.82,0.8567639257294429,0.9124293785310734,0.8075,0.8262499999999999,0.845,0.78,0.835,82.42423486709595
700,1,1.0,0.8083333333333333,0.8464619492656875,0.9083094555873925,0.7925,0.8162499999999999,0.84,0.76,0.825,84.04637861251831
700,1,1.0,0.82,0.8567639257294429,0.9124293785310734,0.8075,0.8262499999999999,0.845,0.78,0.835,83.40124654769897
